TRADENO	TRADETIME	SECBOARD	SECCODE	PRICE	VOLUME	ACCRUEDINT	YIELD	VALUE
003422595392	090217	SPEQ	GAZP	214.2500000000	2900	0.00	0.00	621325.00
003422595393	090217	SPEQ	GAZP	214.2500000000	300	0.00	0.00	64275.00
003422595394	090217	SPEQ	GAZP	214.2500000000	1600	0.00	0.00	342800.00
003422595395	090217	SPEQ	GAZP	214.2500000000	3300	0.00	0.00	707025.00
003422595396	090217	SPEQ	GAZP	214.2500000000	6000	0.00	0.00	1285500.00
003422595397	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595398	090217	SPEQ	GAZP	214.2500000000	300	0.00	0.00	64275.00
003422595399	090217	SPEQ	GAZP	214.2500000000	200	0.00	0.00	42850.00
003422595400	090217	SPEQ	GAZP	214.2500000000	4000	0.00	0.00	857000.00
003422595401	090217	SPEQ	GAZP	214.2500000000	400	0.00	0.00	85700.00
003422595402	090217	SPEQ	GAZP	214.2500000000	2800	0.00	0.00	599900.00
003422595403	090217	SPEQ	GAZP	214.2500000000	2000	0.00	0.00	428500.00
003422595404	090217	SPEQ	GAZP	214.2500000000	2500	0.00	0.00	535625.00
003422595405	090217	SPEQ	GAZP	214.2500000000	26300	0.00	0.00	5634775.00
003422595406	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595407	090217	SPEQ	GAZP	214.2500000000	700	0.00	0.00	149975.00
003422595408	090217	SPEQ	GAZP	214.2500000000	15000	0.00	0.00	3213750.00
003422595409	090217	SPEQ	GAZP	214.2500000000	3900	0.00	0.00	835575.00
003422595410	090217	SPEQ	GAZP	214.2500000000	200	0.00	0.00	42850.00
003422595411	090217	SPEQ	GAZP	214.2500000000	200	0.00	0.00	42850.00
003422595412	090217	SPEQ	GAZP	214.2500000000	31500	0.00	0.00	6748875.00
003422595413	090217	SPEQ	GAZP	214.2500000000	4500	0.00	0.00	964125.00
003422595414	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595415	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595416	090217	SPEQ	GAZP	214.2500000000	600	0.00	0.00	128550.00
003422595417	090217	SPEQ	GAZP	214.2500000000	300	0.00	0.00	64275.00
003422595418	090217	SPEQ	GAZP	214.2500000000	300	0.00	0.00	64275.00
003422595419	090217	SPEQ	GAZP	214.2500000000	500	0.00	0.00	107125.00
003422595420	090217	SPEQ	GAZP	214.2500000000	700	0.00	0.00	149975.00
003422595421	090217	SPEQ	GAZP	214.2500000000	400	0.00	0.00	85700.00
003422595422	090217	SPEQ	GAZP	214.2500000000	6000	0.00	0.00	1285500.00
003422595423	090217	SPEQ	GAZP	214.2500000000	300	0.00	0.00	64275.00
003422595424	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595425	090217	SPEQ	GAZP	214.2500000000	400	0.00	0.00	85700.00
003422595426	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595427	090217	SPEQ	GAZP	214.2500000000	1300	0.00	0.00	278525.00
003422595428	090217	SPEQ	GAZP	214.2500000000	500	0.00	0.00	107125.00
003422595429	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595430	090217	SPEQ	GAZP	214.2500000000	1000	0.00	0.00	214250.00
003422595431	090217	SPEQ	GAZP	214.2500000000	1300	0.00	0.00	278525.00
003422595432	090217	SPEQ	GAZP	214.2500000000	300	0.00	0.00	64275.00
003422595433	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595434	090217	SPEQ	GAZP	214.2500000000	700	0.00	0.00	149975.00
003422595435	090217	SPEQ	GAZP	214.2500000000	200	0.00	0.00	42850.00
003422595436	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595437	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595438	090217	SPEQ	GAZP	214.2500000000	1100	0.00	0.00	235675.00
003422595439	090217	SPEQ	GAZP	214.2500000000	500	0.00	0.00	107125.00
003422595440	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595441	090217	SPEQ	GAZP	214.2500000000	35300	0.00	0.00	7563025.00
003422595442	090217	SPEQ	GAZP	214.2500000000	400	0.00	0.00	85700.00
003422595443	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595444	090217	SPEQ	GAZP	214.2500000000	5500	0.00	0.00	1178375.00
003422595445	090217	SPEQ	GAZP	214.2500000000	4900	0.00	0.00	1049825.00
003422595446	090217	SPEQ	GAZP	214.2500000000	1000	0.00	0.00	214250.00
003422595447	090217	SPEQ	GAZP	214.2500000000	1300	0.00	0.00	278525.00
003422595448	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595449	090217	SPEQ	GAZP	214.2500000000	129000	0.00	0.00	27638250.00
003422595450	090217	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595451	090218	SPEQ	GAZP	214.2500000000	500	0.00	0.00	107125.00
003422595452	090218	SPEQ	GAZP	214.2500000000	2500	0.00	0.00	535625.00
003422595453	090218	SPEQ	GAZP	214.2500000000	300	0.00	0.00	64275.00
003422595454	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595455	090218	SPEQ	GAZP	214.2500000000	400	0.00	0.00	85700.00
003422595456	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595457	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595458	090218	SPEQ	GAZP	214.2500000000	11200	0.00	0.00	2399600.00
003422595459	090218	SPEQ	GAZP	214.2500000000	400	0.00	0.00	85700.00
003422595460	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595461	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595462	090218	SPEQ	GAZP	214.2500000000	1000	0.00	0.00	214250.00
003422595463	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595464	090218	SPEQ	GAZP	214.2500000000	48600	0.00	0.00	10412550.00
003422595465	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595466	090218	SPEQ	GAZP	214.2500000000	300	0.00	0.00	64275.00
003422595467	090218	SPEQ	GAZP	214.2500000000	200	0.00	0.00	42850.00
003422595468	090218	SPEQ	GAZP	214.2500000000	3300	0.00	0.00	707025.00
003422595469	090218	SPEQ	GAZP	214.2500000000	3000	0.00	0.00	642750.00
003422595470	090218	SPEQ	GAZP	214.2500000000	107700	0.00	0.00	23074725.00
003422595471	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595472	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
003422595473	090218	SPEQ	GAZP	214.2500000000	500	0.00	0.00	107125.00
003422595474	090218	SPEQ	GAZP	214.2500000000	700	0.00	0.00	149975.00
003422595475	090218	SPEQ	GAZP	214.2500000000	2000	0.00	0.00	428500.00
003422595476	090218	SPEQ	GAZP	214.2500000000	1200	0.00	0.00	257100.00
003422595477	090218	SPEQ	GAZP	214.2500000000	100	0.00	0.00	21425.00
